Time ms,TimeFrame,seq,left_pts_total,right_pts_total,left_0_x,left_0_y,right_0_x,right_0_y,min_dist_left,min_dist_right
8187.474747,136,8054,1,1,708.377,311.044,590.095,338.626,0.0236829,0.0238681
8247.676768,137,8055,1,1,725.584,314.08,586.719,322.689,0.140618,0.0330232
8307.878788,138,8056,1,1,666.849,324.218,577.518,339.944,0.0171846,0.0258888
8368.080808,139,8057,1,1,646.138,327.385,565.889,369.444,0.0156238,0.0243807
8428.282828,140,8058,1,1,617.389,342.987,557.571,391.045,0.0113978,0.0212604
8488.484848,141,8059,1,1,605.638,373.585,556.808,418.367,0.00544246,0.0154168
8548.686869,142,8060,1,1,602.266,386.257,538.522,442.661,0.00278523,0.0121816
8608.888889,143,8061,1,1,601.642,394.139,522.306,463.017,0.00246064,0.00641738
8669.090909,144,8062,1,1,598.331,393.297,513.762,476.698,0.00245401,0.00451607
8729.292929,145,8063,1,1,598.381,394.181,512.795,476.861,0.00200581,0.00435568
8789.494949,146,8064,1,1,599.167,395.196,512.217,477.632,0.00186327,0.00424404
8849.69697,147,8065,1,1,599.068,396.597,512.099,478.1,0.00196264,0.00406936
8909.89899,148,8066,1,1,597.173,397.456,512.158,478.97,0.001693,0.00374472
8970.10101,149,8067,1,1,595.774,398.029,511.033,478.489,0.00171739,0.00391977
9030.30303,150,8068,1,1,595.043,397.458,510.206,478.88,0.00179164,0.00390661
9090.505051,151,8069,1,1,593.24,398.519,505.614,482.118,0.0016562,0.00324151
9150.707071,152,8070,1,1,583.922,399.841,505.075,488.454,0.00224866,0.00333839
9210.909091,153,8071,1,1,565.546,410.472,457.928,517.011,0.00123226,0.00218893
9271.111111,154,8072,1,1,548.708,415.785,446.449,504.594,0.00162271,0.00314978
9331.313131,155,8073,1,1,532.274,418.94,407.079,528.775,0.00158099,0.00187006
9391.515152,156,8074,1,1,508.184,424.74,387.493,525.38,0.0017055,0.00319094
9451.717172,157,8075,1,1,490.145,424.212,363.808,521.646,0.00210305,0.00308511
9511.919192,158,8076,1,1,480.617,428.569,349.429,534.563,0.00176274,0.00242148
9572.121212,159,8077,1,1,469.452,429.984,0,0,0.00187488,1.02762
9632.323232,160,8078,1,1,464.004,432.673,337.184,519.648,0.00139373,0.00353114
9692.525253,161,8079,1,1,464.458,430.78,338.699,520.175,0.0012797,0.00345602
9752.727273,162,8080,1,1,464.588,431.414,340.043,521.174,0.00160031,0.00332954
9812.929293,163,8081,1,1,467.362,430.684,339.818,519.403,0.0014205,0.00376606
9873.131313,164,8082,1,1,467.414,430.034,340.071,520.263,0.00163686,0.00396436
9933.333333,165,8083,1,1,466.417,428.691,340.82,517.551,0.00184453,0.00461513
9993.535354,166,8084,1,1,469.665,418.128,350.356,497.594,0.00495546,0.00797276
10053.73737,167,8085,1,1,502.318,384.47,410.782,425.608,0.00756366,0.0239761
10113.93939,168,8086,1,1,517.242,392.941,451.723,420.218,1.89E-05,0.0286259
10174.14141,169,8087,1,1,582.18,365.044,456.782,420.573,0.000128962,0.0014059
10234.34343,170,8088,1,1,637.63,322.633,528.177,406.961,0.0148985,0.0274105
10294.54545,171,8089,1,1,672.185,324.656,535.369,382.767,0.0113225,1.28E-05
10354.74747,172,8090,1,1,678.963,327.846,627.936,384.826,0.0505224,0.0319127
10414.94949,173,8091,1,1,727.233,313.457,733.751,428.566,0.0433371,0.0161028
10475.15152,174,8092,1,1,790.478,339.007,756.901,420.565,0.00342569,0.0219469
10535.35354,175,8093,1,1,824.71,345.501,787.63,438.189,0.00458155,0.0161579
10595.55556,176,8094,1,1,830.335,349.072,817.659,463.051,0.00353943,0.0105085
10655.75758,177,8095,1,1,833.958,350.359,832.052,483.076,0.00276383,0.0066927
10715.9596,178,8096,1,1,834.065,354.313,835.486,497.266,0.00236969,0.00393942
10776.16162,179,8097,1,1,832.363,358.289,834.979,502.175,0.00188309,0.00269809
10836.36364,180,8098,1,1,837.168,358.07,834.015,504.786,0.00170011,0.00225081
10896.56566,181,8099,1,1,833.803,359.8,830.587,504.17,0.00159003,0.00226071
10956.76768,182,8100,1,1,835.131,360.529,833.343,507.937,0.00115824,0.00195617
11016.9697,183,8101,1,1,835.959,361.436,835.155,508.097,0.00128424,0.00186649
11077.17172,184,8102,1,1,838.704,361.152,833.833,507.844,0.00130054,0.0018855
11137.37374,185,8103,1,1,839.968,361.93,836.056,508.312,0.00127252,0.00186651
11197.57576,186,8104,1,1,839.422,362.536,837.965,508.725,0.00122853,0.00179618
11257.77778,187,8105,1,1,843.907,364.138,840.11,510.773,0.00119859,0.00199791
11317.9798,188,8106,1,1,833.033,329.673,854.228,517.869,0.00386078,0.00162956
11378.18182,189,8107,1,1,860.927,374.783,872.989,528.079,0.00104906,0.00156092
11438.38384,190,8108,1,1,869.817,376.59,898.381,535.317,0.00123179,0.00137847
11498.58586,191,8109,1,1,862.461,350.48,924.636,542.595,0.00278536,0.00157764
11558.78788,192,8110,1,1,907.316,391.132,947.448,551.957,0.00148013,0.00151739
11618.9899,193,8111,1,1,926.552,392.824,965.006,552.446,0.00189044,0.00202931
11679.19192,194,8112,1,1,920.723,389.341,978.806,554.22,0.0019319,0.00197727
11739.39394,195,8113,1,1,940.049,389.423,988.29,557.282,0.00195008,0.00173846
11799.59596,196,8114,1,1,941.684,390.965,989.932,554.507,0.0018118,0.00162422
11859.79798,197,8115,1,1,939.209,390.013,991.156,557.426,0.00105096,0.0013919
11920,198,8116,1,1,944.947,389.691,988.587,556.449,0.00160433,0.00175768
11980.20202,199,8117,1,1,941.245,391.482,987.856,554.082,0.00156948,0.0019652
12040.40404,200,8118,1,1,942.732,387.756,990.068,556.454,0.0020273,0.00155931
12100.60606,201,8119,1,1,941.915,385.566,989.095,552.259,0.00233736,0.00201577
12160.80808,202,8120,1,1,940.251,378.627,986.678,538.411,0.00386201,0.00402164
12221.0101,203,8121,1,1,931.214,364.775,980.987,523.739,0.00810979,0.0066853
12281.21212,204,8122,1,1,933.82,346.998,958.861,499.483,0.0141731,0.0101815
12341.41414,205,8123,1,1,941.627,326.691,942.355,489.996,0.0228538,0.010701
12401.61616,206,8124,1,1,950.706,326.415,908.461,457.238,0.0246939,0.0156595
12461.81818,207,8125,1,1,997.857,256.741,899.99,448.616,0.044487,0.0144376
12522.0202,208,8126,1,1,968.492,323.414,898.95,431.749,0.0361177,0.0160178
12582.22222,209,8127,1,1,1029.35,384.621,910.326,428.956,1.02762,0.0139143
12642.42424,210,8128,1,1,1014.48,414.111,922.958,429.338,0.0228504,0.0130425
12702.62626,211,8129,1,1,1017.51,434.421,929.046,436.868,0.0182795,0.0108546
12762.82828,212,8130,1,1,1019.02,447.481,931.277,442.619,0.0182879,0.00913849
12823.0303,213,8131,1,1,1016.98,458.655,925.735,440.186,0.0167246,0.00854341
12883.23232,214,8132,1,1,1019.57,469.102,922.751,435.379,0.013216,0.00790693
12943.43434,215,8133,1,1,1024.03,477.653,915.25,430.149,0.0121246,0.00874437
13003.63636,216,8134,1,1,1031.75,505.94,909.571,431.326,0.00656033,0.00932288
13063.83838,217,8135,1,1,1051.96,494.252,916.247,433.341,0.0114116,0.0118416
13124.0404,218,8136,1,1,1063.18,507.298,937.601,453.427,0.0115305,0.0100637
13184.24242,219,8137,1,1,1090.75,551.971,960.008,471.332,0.00889031,0.00924344
13244.44444,220,8138,1,1,1085.29,540.366,972.986,481.212,0.0120105,0.0106157
13304.64646,221,8139,1,1,1092.27,562.193,983.215,499.038,0.00667753,0.00980529
13364.84848,222,8140,1,1,1094.05,577.968,993.136,522.889,0.00646335,0.00687917
13425.05051,223,8141,1,1,1092.73,589.842,999.771,536.929,0.00512898,0.00494882
13485.25253,224,8142,1,1,1088,596.388,999.893,550.908,0.00338717,0.00223926
13545.45455,225,8143,1,1,1085.51,602.846,997.487,553.593,0.00250661,0.00168184
13605.65657,226,8144,1,1,1086.02,602.973,996.188,551.881,0.00223767,0.00164893
13665.85859,227,8145,1,1,0,0,991.902,550.232,1.02762,0.00184042
13726.06061,228,8146,1,1,1087.09,601.929,987.063,548.374,0.00258376,0.00196794
13786.26263,229,8147,1,1,1084.46,600.679,979.816,544.691,0.00204758,0.0018863
13846.46465,230,8148,1,1,1076.19,590.233,971.007,554.465,0.00259643,0.000732458
13906.66667,231,8149,1,1,1056.58,580.944,961.402,548.355,0.00301142,0.00112563
13966.86869,232,8150,1,1,1059.37,594.368,940.72,529.005,0.00158994,0.00250257
14027.07071,233,8151,1,1,1037.12,590.013,930.578,524.749,0.00222683,0.00232921
14087.27273,234,8152,1,1,1031.03,578.847,921.088,521.297,0.00262094,0.0025349
14147.47475,235,8153,1,1,1022.4,576.186,913.266,513.429,0.00201505,0.00270309
14207.67677,236,8154,1,1,1017.24,577.123,904.232,506.447,0.0017402,0.00259632
14267.87879,237,8155,1,1,1021.35,581.904,896.139,501.058,0.00160878,0.00297089
14328.08081,238,8156,1,1,1018.63,582.36,891.378,500.523,0.0013134,0.00259655
14388.28283,239,8157,1,1,1015.45,582.134,886.213,496.428,0.00130614,0.00271496
14448.48485,240,8158,1,1,1014.23,580.939,884.08,496.318,0.00150867,0.00275956
14508.68687,241,8159,1,1,1014.69,579.827,882.723,495.191,0.00138442,0.00293682
14568.88889,242,8160,1,1,1013.18,579.249,880.541,493.81,0.00151545,0.0029263
14629.09091,243,8161,1,1,1013.97,578.893,878.457,492.567,0.00122311,0.00304146
14689.29293,244,8162,1,1,1012.21,578.873,877.061,490.286,0.00116928,0.0027655
14749.49495,245,8163,1,1,1013.57,579.564,877.816,489.119,0.00109681,0.00296683
14809.69697,246,8164,1,1,1013.57,579.178,877.192,489.763,0.00120579,0.00337901
14869.89899,247,8165,1,1,1012.21,579.427,878.442,488.64,0.00132439,0.00345337
14930.10101,248,8166,1,1,1005.11,573.955,877.861,485.425,0.00201234,0.00431177
14990.30303,249,8167,1,1,1005.26,562.926,877.852,469.271,0.0028381,0.00886523
15050.50505,250,8168,1,1,1009.72,546.794,877.018,455.819,0.00599248,0.0152128
15110.70707,251,8169,1,1,0,0,876.548,458.72,1.02762,0.0176553
15170.90909,252,8170,1,1,1017,531.045,876.716,480.994,0.0118228,0.0125344
15231.11111,253,8171,1,1,1001.39,535.115,815.016,378.244,0.0112756,0.0251535
15291.31313,254,8172,1,1,970.519,560.029,880.098,525.487,0.00706856,0.00342499
15351.51515,255,8173,1,1,997.446,589.036,878.097,527.91,0.0028045,0.00238102
15411.71717,256,8174,1,1,985.474,588.523,873.798,531.15,0.00307544,0.0017982
15471.91919,257,8175,1,1,989.901,590.331,870.404,527.786,0.00258492,0.00185596
15532.12121,258,8176,1,1,996.406,587.921,858.973,527.82,0.00255455,0.00184221
15592.32323,259,8177,1,1,1003.26,587.792,849.56,528.448,0.00241177,0.00139678
15652.52525,260,8178,1,1,1003.33,584.974,841.261,522.464,0.00213103,0.00149928
15712.72727,261,8179,1,1,1002.42,581.22,835.182,519.661,0.00191878,0.00173107
15772.92929,262,8180,1,1,996.656,578.899,829.656,518.312,0.00157715,0.00167497
15833.13131,263,8181,1,1,995.942,575.386,823.39,515.878,0.00151394,0.00177536
15893.33333,264,8182,1,1,1000.56,572.713,818.017,512.377,0.00174814,0.0019442
15953.53535,265,8183,1,1,1003.95,573.937,813.266,514.233,0.0019094,0.00153627
16013.73737,266,8184,1,1,1008.45,576.434,807.673,514.863,0.00124034,0.00142549
16073.93939,267,8185,1,1,1010.99,578.074,805.375,513.101,0.00112179,0.00156185
16134.14141,268,8186,1,1,1018.03,574.241,801.662,514.734,0.00130337,0.00132466
16194.34343,269,8187,1,1,1020.74,572.864,801.841,512.846,0.00160946,0.0013528
16254.54545,270,8188,1,1,1021.04,574.773,801.175,513.424,0.00138049,0.00148143
16314.74747,271,8189,1,1,1022.44,572.347,802.017,511.228,0.00162864,0.00161475
16374.94949,272,8190,1,1,1027.78,568.155,801.035,507.338,0.00239058,0.0020117
16435.15152,273,8191,1,1,1033.05,568.234,792.628,504.938,0.002725,0.00263634
16495.35354,274,8192,1,1,1048.05,555.836,784.982,507.657,0.00259695,0.00267278
16555.55556,275,8193,1,1,1042.65,559.592,780.892,508.292,0.00299621,0.00253548
16615.75758,276,8194,1,1,1043.33,557.754,782.421,505.284,0.00327014,0.00289597
16675.9596,277,8195,1,1,1048.31,552.742,781.883,498.317,0.00379783,0.00451508
16736.16162,278,8196,1,1,1065.62,544.141,795.864,470.945,0.00309971,0.00919572
16796.36364,279,8197,1,1,1067.42,530.72,793.778,489.715,0.00869994,0.00515396
16856.56566,280,8198,1,1,1070.4,527.031,864.287,458.133,0.0101903,0.0158696
16916.76768,281,8199,1,1,1039.37,532.354,913.577,480.761,0.0085835,0.0127707
16976.9697,282,8200,1,1,1020.42,536.907,911.241,501.493,0.00455189,0.00779954
17037.17172,283,8201,1,1,0,0,918.556,495.042,1.02762,0.00849563
